,,,Q_5238,Q_5214,Q_5207,Q_5206,Q_5205,Q_5219,Q_5236,Q_5237,Q_5276,Q_5147,Q_5291,Q_5292,Q_5123,Q_5266,Q_5239,Q_5124,Q_5277,Q_5220,Q_5287,Q_5215,Q_5148,Q_5208,Q_5209,Q_5125,Q_5216,Q_5278,Q_5149,Q_5221,Q_5267,Q_5240,Q_5210,Q_5126,Q_5279,Q_5150,Q_5268,Q_5241,Q_5217,Q_5222,Q_5269,Q_5211,Q_5280,Q_5218,Q_5151,Q_5242,Q_5223,Q_5281,Q_5152,Q_5224,Q_5212,Q_5270,Q_5153,Q_5282,Q_5213,Q_5225,Q_5271,Q_5226,Q_5154,Q_5283,Q_5272,Q_5227,Q_5284,Q_5273,Q_5288,Q_5289,Q_5155,Q_5285,Q_5274,Q_5228,Q_5156,Q_5229,Q_5157,Q_5275,Q_5158,Q_5230,Q_5231,Q_5232,Q_5233,Q_5234,Q_5235,"External ID","Alert Times",Model,OS
,,,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,vigorous_activity_weekday,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,food_run_out,vigorous_activity_weekend,deprecated,food_strategies,deprecated,skip_meals,compare_prices,plan_meals,food_did_not_last,deprecated,moderate_activity_weekday,skip_meals_days,satisfied_life,accept_food,deprecated,shopping_list,balanced_meals,moderate_activity_weekend,eat_less,borrow_money,deprecated,deprecated,dropped_interests,buy_cheaper_food,check_food,light_activity_weekday,deprecated,eat_less_days,deprecated,life_empty,light_activity_weekend,hungry,bored,grocery_store_flyers,buy_food_credit,hungry_days,sleeping_weekday,coupons,good_spirits,food_does_not_go_bad,something_bad_happen,lose_weight,sleeping_weekend,food_pantry,mostly_happy,sitting_weekday,deprecated,deprecated,government_program,lose_weight_days,sitting_weekend,senior_food_program,helpless,not_eat,stay_at_home,not_eat_days,stretch_food,deprecated,memory_problems,alive_wonderful,worthless,full_of_energy,hopeless,people_better_off
"Survey Date Submitted","Survey Date Completed","Participant ID","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>vigorous activity</u> (brisk walking, digging in the garden, strenuous sports, jogging, sustained swimming, chopping wood, heavy carpentry, bicycling on hills, etc.):</b>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>vigorous activity (brisk walking, digging in the garden, strenuous sports, jogging, sustained swimming, chopping wood, heavy carpentry, bicycling on hills, etc.):</u></b>","Please answer the following questions about how you plan meals and buy foods for your family.<br><br>As you read each questions, think about the <b>PAST 30 DAYS.</b>","Next, we would like to know if you have used any of the following strategies <b><u>IN THE PAST 30 DAYS.</u></b> Then, if your household has challenges affording food, we would like you to consider the likelihood of using these strategies in the future.","Next please tell us whether or not the following food situations occurred to <u>you</u> in the <b><u>LAST 30 DAYS</u></b>:","Choose YES or NO for the following questions that ask about your feelings and thoughts during <b>THE PAST WEEK</b>. Although some of the questions are similar, there are small differences between them and you should treat each one as a separate question.","Next please tell us whether or not the following food situations occurred to <u>you</u> in the <b><u>LAST 30 DAYS.</u></b>","Please answer the following questions about how you plan meals and buy foods for your family.<br><br>As you read each question, think about the <b><u>PAST 30 DAYS.</u></b>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>vigorous activity</u> (brisk walking, digging in the garden, strenuous sports, jogging, sustained swimming, chopping wood, heavy carpentry, bicycling on hills, etc.):</b>","Next please tell us whether or not the following food situations occurred to <u>you</u> in the <b>LAST 30 DAYS</b>:","There are several statements that people have made about their food situation. For these statements, please choose <b>ONE</b> option to identify how often the following occurred in <b><i>your household</i></b> in the <b><u>LAST 30 DAYS</u></b>.","Next please tell us whether or not the following food situations occurred to <u><b>you</b></u> in the <b><u>LAST 30 DAYS.</u></b>","There are several statements that people have made about their food situation. For these statements, please choose <b>ONE</b> option to identify how often the following occurred in <b>your household</b> in the <b><u>LAST 30 DAYS</u></b>.","IN THE PAST 30 DAYS, have you used any of the following strategies?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>moderate activity</u> (heavy housework, light sports, regular walking, dancing, yard work, painting, repairing, light carpentry, bicycling on level ground, etc.):</b>","In the <b>PAST four weeks</b>, we worried whether our food would run out before we got money to buy more.","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>vigorous activity</u> (brisk walking, digging in the garden, strenuous sports, jogging, sustained swimming, chopping wood, heavy carpentry, bicycling on hills, etc.):</b>","The best approach is to answer fairly quickly. That is, don't try to count up the exact number of times you felt a particular way, but choose the answer that in general seems the best.","IN THE PAST 30 DAYS, have you used any of the following strategies?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>moderate activity (heavy housework, light sports, regular walking, dancing, yard work, painting, repairing, light carpentry, bicycling on level ground, etc.):</u></b>","Did you ever <b>cut the size of your meals</b> or skip meals because there wasn't enough money for food?","In the <b>PAST 30 DAYS</b>, how often did you <b>compare prices</b> before buying food?","In the <b>PAST 30 DAYS</b>, how often did you <b>plan meals</b> before shopping for groceries?","In the <b>PAST four weeks</b>, the food that we bought just didn't last, and we didn't have money to get more.","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>light activity (office work, light housework, driving a car, strolling, personal care, standing with little motion, etc.):</u></b>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>moderate activity</u> (heavy housework, light sports, regular walking, dancing, yard work, painting, repairing, light carpentry, bicycling on level ground, etc.):</b>","How many days did this happen?","Are you basically satisfied with your life?","IN THE FUTURE, what is the likelihood that you would <b>accept food from friends or family</b>?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>light activity</u> (office work, light housework, driving a car, strolling, personal care, standing with little motion, etc.):</b>","In the <b>PAST 30 DAYS</b>, how often did you <b>use a shopping list</b> when grocery shopping?","In the <b>PAST four weeks</b>, we couldn't afford to eat balanced meals. <i>(By balanced meal, I mean a meal that includes all the types of food that you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit and some protein like meat, fish, cheese or eggs).</i>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>moderate activity</u> (heavy housework, light sports, regular walking, dancing, yard work, painting, repairing, light carpentry, bicycling on level ground, etc.):</b>","Did you ever <b>eat less</b> than you felt you should because there wasn't enough money for food?","IN THE FUTURE, what is the likelihood that you would <b>borrow money from friends and family</b>?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend <b><u>sleeping and lying down</u> (including night-time, naps, reclining):</b>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend <b><u>sleeping and lying down (including night-time, naps, reclining):</u></b>","Have you dropped many of your activities and interests?","IN THE FUTURE, what is the likelihood that you would <b>buy different, cheaper foods</b>?","In the <b>PAST 30 DAYS</b>, how often did you <b>check food on hand</b> before making a shopping list?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>light activity</u> (office work, light housework, driving a car, strolling, personal care, standing with little motion, etc.):</b>","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>sitting activity (eating, reading, watching TV, listening to the radio, etc.):</u></b>","How many days did this happen?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>sitting activity</u> (eating, reading, watching TV, listening to the radio, etc.):</b>","Do you feel that your life is empty?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>light activity</u> (office work, light housework, driving a car, strolling, personal care, standing with little motion, etc.):</b>","Were you <b>ever hungry</b> but didn't eat because there wasn't enough money for food?","Do you often get bored?","In the <b>PAST 30 DAYS</b>, how often did you use <b>grocery store flyers</b> to plan meals?","IN THE FUTURE, what is the likelihood that you would <b>buy food on credit</b>?","How many days did this happen?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend <b><u>sleeping and lying down</u> (including night-time, naps, reclining):</b>","In the <b>PAST 30 DAYS</b>, how often did you <b>identify foods on sale or use coupons</b> to save money?","Are you in good spirits most of the time?","IN THE FUTURE, what is the likelihood that you would <b>buy foods that don't go bad quickly (e.g., pasta, beans, rice, canned foods)</b>?","Are you afraid that something bad is going to happen to you?","Did you <b>lose weight</b> because there wasn't enough money for food?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend <b><u>sleeping and lying down</u> (including night-time, naps, reclining):</b>","IN THE FUTURE, what is the likelihood that you would <b>get food from a <u>food pantry</u> or <u>soup kitchen</u></b>?","Do you feel happy most of the time?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>sitting activity</u> (eating, reading, watching TV, listening to the radio, etc.):</b>","IN THE FUTURE, what is the likelihood that you would <b>sign up for or continue participation in a <u>government program</u>, such as SNAP, USDA’s monthly commodity supplemental food program </b>?","IN THE FUTURE, what is the likelihood that you would <b>sign up for or continue participation in a <u>government program</u>, such as SNAP, USDA’s monthly commodity supplemental food program</b>?","IN THE FUTURE, what is the likelihood that you would <b>sign up for or continue participation in a <u>government program</u>, such as SNAP, USDA's monthly commodity supplemental food program</b>?","How many days did this happen?","During the PAST 7 DAYS, on a usual DAY, how many hours did you spend doing <b><u>sitting activity</u> (eating, reading, watching TV, listening to the radio, etc.):</b>","IN THE FUTURE, what is the likelihood that you would <b>sign up for or continue participation in a <u>senior food program</u>, such as senior food box program</b>?","Do you often feel helpless?","Did you ever <b>not eat for a whole day</b> because there wasn't enough money for food?","Do you prefer to stay at home, rather than going out and doing things?","How many days did this happen?","IN THE FUTURE, what is the likelihood that you would <b>stretch the food that you have by eating less</b>?","end food situation block","Do you feel that you have more problems with memory than most?","Do you think it is wonderful to be alive now?","Do you feel worthless the way you are now?","Do you feel full of energy?","Do you feel that your situation is hopeless?","Do you think that most people are better off than you are?"
"2022-01-04 16:43:01","2022-01-04 16:43:00",bort-ww3rq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2,N/A,N/A,1,N/A,N/A,29.00,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.00,N/A,N/A,N/A,2,N/A,N/A,N/A,30.00,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.00,N/A,N/A,N/A,2,N/A,30.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-05 17:22:12","2022-01-05 17:22:10",bort-ww3rq,N/A,"33398:12.00,33400:12.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,"33402:12.00,33404:12.00",2,1,1,1,"33408:12.00,33406:12.00",N/A,30.00,1,N/A,N/A,1,1,N/A,2,N/A,N/A,"33410:12.0,33412:12.0",1,N/A,1,N/A,"33414:12.0,33416:12.0",30.00,N/A,1,N/A,2,1,1,N/A,30.00,N/A,1,1,N/A,1,2,N/A,N/A,1,N/A,N/A,N/A,N/A,30.00,N/A,N/A,1,2,1,30.00,N/A,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
"2022-01-05 17:26:13","2022-01-05 17:26:12",bort-ww3rq,"33480:0.00,33482:24.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33484:0.00,33486:24.00",4,N/A,N/A,N/A,N/A,1,5,5,4,N/A,N/A,N/A,2,N/A,"33488:0.00,33490:24.00",5,4,N/A,1,N/A,"33492:0.00,33494:24.00",N/A,2,N/A,5,N/A,N/A,N/A,"33496:0.00,33498:24.00",2,N/A,1,2,5,N/A,N/A,N/A,5,2,N/A,2,1,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,2,N/A,N/A,N/A,2,2,2,2,2,2,N/A,N/A,N/A,N/A
"2022-01-14 15:58:42","2022-01-14 15:58:41",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:24.00,N/A,N/A,N/A,N/A,"1,2,3",N/A,1,33809:12.00,N/A,N/A,N/A,1,1,1,1,N/A,33811:24.00,N/A,1,1,N/A,1,1,33813:12.00,1,1,N/A,N/A,1,1,1,33815:24.00,N/A,N/A,N/A,1,33817:12.0,1,1,1,1,N/A,33819:23.00,1,1,1,1,1,33821:12.0,1,1,33823:23.00,1,N/A,N/A,N/A,33825:12.0,1,1,1,1,N/A,1,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
"2022-01-14 16:01:53","2022-01-14 16:01:52",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:0.00,N/A,N/A,N/A,N/A,N/A,N/A,4,33809:6.00,N/A,10,N/A,2,5,5,4,N/A,33811:0.00,30.00,2,6,N/A,5,4,33813:6.00,2,6,N/A,N/A,2,6,5,33815:0.00,N/A,30.00,N/A,2,33817:6.00,2,2,5,6,30.00,33819:0.00,5,2,6,2,2,33821:6.00,6,2,33823:0.00,N/A,6,N/A,30.00,33825:6.00,6,2,2,2,30.00,6,N/A,2,2,2,2,2,2,N/A,N/A,N/A,N/A
"2022-01-14 16:42:48","2022-01-14 16:42:47",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,2,N/A,N/A,4,N/A,N/A,19.00,N/A,4,N/A,N/A,4,N/A,1,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,6,N/A,N/A,N/A,N/A,6,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-14 16:47:35","2022-01-14 16:47:34",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:12.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33809:12.0,N/A,"5,7",N/A,1,4,4,3,N/A,33811:12.0,N/A,1,1,N/A,4,2,33813:12.0,1,1,N/A,N/A,1,1,4,33815:12.0,N/A,N/A,N/A,1,33817:12.0,1,1,4,1,N/A,33819:12.0,4,1,1,1,1,33821:12.0,1,1,33823:12.0,N/A,N/A,1,N/A,33825:12.0,1,1,1,1,N/A,1,N/A,1,1,1,1,1,2,N/A,N/A,N/A,N/A
"2022-01-17 13:00:12","2022-01-17 13:00:11",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-17 14:02:45","2022-01-17 14:02:45",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:17.00,N/A,N/A,N/A,N/A,N/A,N/A,1,33809:16.00,N/A,"3,4,5,6,7,8,9",N/A,2,1,1,1,N/A,33811:20.00,24.00,1,1,N/A,1,1,33813:19.00,2,1,N/A,N/A,1,1,1,33815:19.00,N/A,25.00,N/A,1,33817:18.00,2,1,1,1,22.00,33819:18.00,1,1,1,1,2,33821:19.00,1,1,33823:18.00,N/A,N/A,1,21.00,33825:20.00,1,1,2,1,24.00,1,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
"2022-01-18 15:50:17","2022-01-18 15:50:16",kepi-dz1yh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:4.00,N/A,N/A,N/A,N/A,N/A,N/A,4,33809:13.00,N/A,8,N/A,2,3,3,3,N/A,33811:4.00,26.00,2,2,N/A,3,4,33813:6.00,1,2,N/A,N/A,1,3,2,33815:8.00,N/A,N/A,N/A,2,33817:12.00,1,2,2,2,N/A,33819:10.00,4,1,3,2,2,33821:10.00,6,2,33823:8.00,N/A,N/A,4,25.00,33825:4.00,3,2,2,2,6.00,3,N/A,2,2,2,2,2,2,N/A,N/A,SM-G991U,12
