,,,Q_4974,Q_5306,Q_5445,Q_4975,Q_5446,Q_4976,Q_4977,Q_4978,Q_4979,Q_4980,Q_4981,Q_4982,"External ID","Alert Times",Model,OS
,,,sleep,deprecated,deprecated,bed,deprecated,falling_asleep,sleep_quality,sleep_interference,sleep_interference_other,sleep_meds,enjoyable,stressful
"Survey Date Submitted","Survey Date Completed","Participant ID","How many hours of actual sleep did you get last night? I actually slept ______ hours.","You should only be seeing this on Sunday, Monday, or Tuesday","<b>Please remember to complete your food records for today.</b> It is best to enter foods and beverages as soon as you consume them.","How many hours were you in bed last night? I was in bed for _____ hours.","To start data entry, tap the round fork and spoon icon on the study home screen. Make sure to include the time eaten, meal type, place prepared, food description, and amount. The completeness of your dietary information is very important to us. Thank you!","Did you have trouble FALLING ASLEEP last night?","How would you rate the quality of your sleep last night on a scale from 1-10, with 1 being the ""poorest"" and 10 being the ""best""? I would rate my sleep last night as __________.","Did any of the following interfere with your sleep last night? <i>Check all that apply.</i>","Please specify what else interfered with your sleep last night:","Did you take medicine (prescribed or ""over the counter"") to help you sleep last night?","Overall, how ENJOYABLE do you expect today will be?","Overall, how STRESSFUL do you expect today will be?"
"2022-01-04 15:00:06","2022-01-04 15:00:04",bort-ww3rq,720.00,N/A,N/A,726.00,N/A,4,10.00,15,other,1,1,1,N/A,N/A,N/A,N/A
"2022-01-10 14:59:03","2022-01-10 14:59:03",favus-1j7i7,865,N/A,N/A,1113,N/A,1,10.00,15,"""other response""",1,1,1,N/A,N/A,N/A,N/A
"2022-01-10 15:27:35","2022-01-10 15:27:34",favus-1j7i7,1440,N/A,N/A,1440,N/A,1,9.62,1,N/A,1,1,1,N/A,N/A,N/A,N/A
"2022-01-14 15:18:25","2022-01-14 15:18:25",dated-h4f3m,1437.00,N/A,N/A,1440.00,N/A,4,10.00,14,N/A,2,4,4,N/A,N/A,N/A,N/A
"2022-01-18 15:14:27","2022-01-18 15:14:26",kepi-dz1yh,714.00,N/A,N/A,438.00,N/A,4,6.00,"2,4",N/A,2,2,1,N/A,N/A,SM-G991U,12
"2022-01-25 12:37:26","2022-01-26 09:01:28",ensue-ch7rp,720,N/A,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-26 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:38:15","2022-01-27 09:01:36",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-27 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:39:57","2022-01-28 09:00:24",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-28 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:40:25","2022-01-29 09:00:21",ensue-ch7rp,720,N/A,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-29 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:40:59","2022-01-30 09:00:26",ensue-ch7rp,720,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-30 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:41:29","2022-01-31 09:00:22",ensue-ch7rp,720,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-01-31 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:42:01","2022-02-01 09:00:23",ensue-ch7rp,720,NA,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-01 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:42:29","2022-02-02 09:00:19",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-02 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:42:58","2022-02-03 09:00:20",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-03 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:43:26","2022-02-04 09:00:20",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-04 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:43:52","2022-02-05 09:00:19",ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-05 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 12:44:21","2022-02-06 09:00:22",ensue-ch7rp,720,NA,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2022-02-06 09:00:00","iPhone12,1","iOS 15.1"
"2022-01-25 13:11:01","2022-01-25 13:11:01",bends-bl9ik,990.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mi 9T Pro",10
"2022-01-25 13:13:03","2022-01-26 09:00:50",bends-bl9ik,N/A,N/A,N/A,908.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mi 9T Pro",10
"2022-01-28 13:17:19","2022-01-28 13:17:19",cave-63ro8,1056.00,N/A,N/A,1340.00,N/A,3,3.00,"15,12",hi,2,4,3,N/A,N/A,SM-G950U,9
"2022-01-31 02:59:13","2022-01-31 02:59:12",cave-63ro8,230.00,N/A,N/A,1276.00,N/A,3,9.00,14,N/A,2,3,4,N/A,N/A,SM-G950U,9
"2022-01-31 15:04:29","2022-01-31 15:04:28",baser-ud20z,366.00,N/A,N/A,1259.00,N/A,3,4.00,3,N/A,2,4,4,N/A,N/A,SM-G950U,9
"2022-02-04 12:05:14","2022-02-04 12:05:13",embar-rq0cp,910.00,N/A,N/A,891.00,N/A,4,7.00,15,text,2,1,1,N/A,N/A,SM-G781U,12
"2022-02-04 12:21:27","2022-02-04 12:21:27",embar-rq0cp,964.00,N/A,N/A,1067.00,N/A,3,8.00,4,N/A,1,1,1,N/A,N/A,SM-G781U,12
"2022-02-07 10:00:29","2022-02-07 10:00:28",embar-rq0cp,1104.00,N/A,N/A,1182.00,N/A,4,8.00,4,N/A,2,4,4,N/A,N/A,SM-G781U,12
"2022-02-07 14:35:00","2022-02-07 14:35:00",embar-rq0cp,1080.00,N/A,N/A,0.00,N/A,4,7.00,5,N/A,2,4,N/A,N/A,N/A,SM-G781U,12
"2022-02-08 14:26:59","2022-02-08 14:19:41",embar-rq0cp,1172.00,N/A,N/A,1021.00,N/A,3,7.00,4,N/A,2,4,4,N/A,N/A,SM-G781U,12
"2022-02-09 16:03:09","2022-02-09 16:03:09",embar-rq0cp,940.00,N/A,N/A,1118.00,N/A,3,7.00,4,N/A,2,3,3,N/A,N/A,SM-G781U,12
"2022-02-10 12:59:04","2022-02-10 12:59:04",embar-rq0cp,281.00,N/A,N/A,519.00,N/A,4,4.00,"1,10,15,13,12",cats,1,2,3,N/A,N/A,SM-G781U,12
"2022-02-15 10:01:24","2022-02-15 10:01:24",embar-rq0cp,976.00,N/A,N/A,1067.00,N/A,4,8.00,5,N/A,2,4,4,N/A,"2022-02-15 10:00:44",SM-G781U,12
"2022-02-17 10:19:13","2022-02-17 10:19:13",embar-rq0cp,1028.00,N/A,N/A,1025.00,N/A,3,8.00,4,N/A,2,4,3,N/A,N/A,SM-G781U,12
