skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5014,22,0.5686274509803921,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5449,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5308,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5299,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5144,16,0.6862745098039216,3,5,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5035,22,0.5686274509803921,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5015,16,0.6862745098039216,3,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5450,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5161,20,0.607843137254902,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5159,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5036,16,0.6862745098039216,3,36,0,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5016,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5037,16,0.6862745098039216,3,36,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5474,16,0.6862745098039216,3,36,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5160,20,0.607843137254902,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5038,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5017,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5018,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5039,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5019,16,0.6862745098039216,3,5,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5020,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5021,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5022,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5023,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5024,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5025,16,0.6862745098039216,3,5,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5026,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5027,16,0.6862745098039216,3,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5263,16,0.6862745098039216,3,5,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5470,16,0.6862745098039216,3,4,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5028,16,0.6862745098039216,1,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5029,16,0.6862745098039216,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5030,22,0.5686274509803921,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5031,16,0.6862745098039216,3,5,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5032,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5033,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5034,16,0.6862745098039216,3,5,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,External ID,0,1,1,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Alert Times,0,1,3,19,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Model,0,1,3,10,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,OS,0,1,1,3,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5040,42,0.17647058823529416,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5451,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5309,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5300,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5145,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5061,42,0.17647058823529416,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5041,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5452,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5164,42,0.17647058823529416,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5162,41,0.196078431372549,3,5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5062,41,0.196078431372549,3,36,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5042,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5063,41,0.196078431372549,3,36,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5475,41,0.196078431372549,3,36,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5163,42,0.17647058823529416,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5064,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5043,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5044,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5065,41,0.196078431372549,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5045,41,0.196078431372549,3,5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5046,41,0.196078431372549,3,5,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5047,41,0.196078431372549,3,5,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5048,41,0.196078431372549,3,5,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5049,41,0.196078431372549,3,5,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5050,41,0.196078431372549,3,5,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5051,41,0.196078431372549,3,5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5052,41,0.196078431372549,3,5,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5053,41,0.196078431372549,3,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5264,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5467,41,0.196078431372549,3,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5054,41,0.196078431372549,1,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5055,41,0.196078431372549,3,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5056,42,0.17647058823529416,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5057,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5058,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5059,41,0.196078431372549,3,5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5060,41,0.196078431372549,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5066,46,0.0980392156862745,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5453,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5310,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5301,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5146,45,0.11764705882352944,3,5,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5087,46,0.0980392156862745,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5067,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5454,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5167,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5088,45,0.11764705882352944,36,36,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5068,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5089,45,0.11764705882352944,3,36,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5476,45,0.11764705882352944,3,36,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5166,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5090,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5069,45,0.11764705882352944,3,5,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5070,45,0.11764705882352944,3,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5091,45,0.11764705882352944,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5071,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5072,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5073,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5074,45,0.11764705882352944,3,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5075,45,0.11764705882352944,3,5,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5076,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5077,45,0.11764705882352944,3,5,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5078,45,0.11764705882352944,3,5,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5079,45,0.11764705882352944,3,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5265,45,0.11764705882352944,3,5,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5471,45,0.11764705882352944,3,4,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5081,45,0.11764705882352944,3,5,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5082,46,0.0980392156862745,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5165,45,0.11764705882352944,NA,NA,NA,NA,NA,6.975,2.000937280376374,4,6.2125,6.925,7.75,10,▃▃▇▃▃,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5080,45,0.11764705882352944,NA,NA,NA,NA,NA,1.6666666666666667,0.5163977794943222,1,1.25,2,2,2,▃▁▁▁▇,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5083,45,0.11764705882352944,NA,NA,NA,NA,NA,7,3.1622776601683795,1,7,7.5,8.75,10,▂▁▁▇▅,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5084,45,0.11764705882352944,NA,NA,NA,NA,NA,6.833333333333333,3.0605010483034745,1,7,7.5,8,10,▂▁▁▇▂,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5085,45,0.11764705882352944,NA,NA,NA,NA,NA,8.166666666666666,1.834847859269718,5,8,8,9.5,10,▂▁▇▁▅,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
numeric,Q_5086,45,0.11764705882352944,NA,NA,NA,NA,NA,6.95,2.6258332011001766,2.7,5.75,8,8,10,▂▂▁▇▂,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-04T14:52:57Z,2022-02-15T11:36:46Z,2022-01-19T15:26:06Z,50,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-04T14:52:55Z,2022-02-15T11:36:44Z,2022-01-19T15:26:03Z,50,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
